Year,Make,Model,Trim,Body,Transmission,Vin,Region,Condition,Odometer,Color,Interior,Seller,Mmr,Sellingprice,Profit,Profit Margin,Margin Tier,Sale Year,Sale Month,Sale Quarter,Month Label,Saledate
2008,Chevrolet,Impala,LS,Sedan,automatic,2g1wb58n189212658,California,29,119856,gray,tan,veros credit,4100,4000,-100,-2.5,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2009,Subaru,Impreza,WRX,Sedan,manual,jf1ge76609g505681,California,43,100143,white,black,south coast toyota,11450,12500,1050,8.4,Medium Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2008,Chevrolet,Express Cargo,2500,Van,,1gcgg29c481221626,California,3,104722,white,purple,tradewinds remarketing,6550,9300,2750,29.56989247,High Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2008,BMW,7 Series,750Li,Sedan,automatic,wbahn83558dt80366,California,,85839,gray,—,garys auto sales inc,15650,12000,-3650,-30.41666667,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2008,Mazda,Mazda6,i Sport Value Edition,Sedan,automatic,1yvhp80c485m15788,California,,135527,silver,—,auto trade center,3400,4500,1100,24.44444444,High Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2008,Jeep,Wrangler,X,Suv,manual,1j4fa24128l594911,California,,60051,black,—,m and m enterprises,14350,16200,1850,11.41975309,Medium Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2008,Lexus,LS 460,Base,Sedan,automatic,jthbl46fx85065745,California,37,97710,black,black,high bid trading co inc,19550,18750,-800,-4.266666667,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:15:00
2008,Honda,Accord,EX-L,Sedan,automatic,1hgcp26878a089980,California,27,144581,white,tan,onemain rem/m&m auto traders,7775,7400,-375,-5.067567568,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2008,Dodge,Grand Caravan,SXT,Minivan,automatic,2d8hn54p98r706203,California,,110697,silver,—,onemain rem/manheim san francisco bay,5800,6000,200,3.333333333,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2008,Honda,Civic,LX,Coupe,automatic,2hgfg12628h516852,California,19,85810,black,gray,james family auto sales,6025,4100,-1925,-46.95121951,Low Margin,2015,2,1,2015-02,Thu Feb 05 2015 04:00:00
2008,Mercedes-Benz,CLK-Class,CLK350,Coupe,automatic,wdbtj56h38f244317,California,,37980,white,tan,mercedes benz of san diego,14100,14250,150,1.052631579,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:00:00
